date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:11:07	96/96	---MCZ	200	added ('OK')	text/plain	etag:W/%225a-557211e0277aa%22	https://chatki.com/robots.txt		(from )
18:11:08	18938/18938	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Aug%202017%2012:46:13%20GMT	https://chatki.com/	H:/Newfolder/skype/chatki.com/index.html	(from )
18:11:08	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2247e-55773e7a278da%22	https://chatki.com/assets/img/favicon.ico	H:/Newfolder/skype/chatki.com/assets/img/favicon.ico	(from https://chatki.com/)
18:11:08	26454/26454	---M--	200	added ('OK')	image/jpeg	etag:%2288cb-557211fd61105%22	https://chatki.com/assets/img/share.jpg	H:/Newfolder/skype/chatki.com/assets/img/share.jpg	(from https://chatki.com/)
18:11:08	5775/5775	---M--	200	added ('OK')	image/png	etag:%22168f-55773e7a2af8a%22	https://chatki.com/assets/img/diamond_chat.png	H:/Newfolder/skype/chatki.com/assets/img/diamond_chat.png	(from https://chatki.com/)
18:11:13	2276/2276	---M--	200	added ('OK')	image/png	etag:%228e4-55773e7b491e7%22	https://chatki.com/assets/img/logo.png	H:/Newfolder/skype/chatki.com/assets/img/logo.png	(from https://chatki.com/)
18:11:13	32959/32959	---MC-	200	added ('OK')	text/javascript	date:Thu,%2017%20Aug%202017%2001:11:09%20GMT	http://www.google-analytics.com/analytics.js	H:/Newfolder/skype/www.google-analytics.com/analytics.js	(from https://chatki.com/)
18:11:13	75125/75125	---M--	200	added ('OK')	image/jpeg	etag:%2212575-55773e79230aa%22	https://chatki.com/assets/img/bg.jpg	H:/Newfolder/skype/chatki.com/assets/img/bg.jpg	(from https://chatki.com/)
18:11:14	9710/9710	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Aug%202017%2012:46:19%20GMT	https://chatki.com/app.php	H:/Newfolder/skype/chatki.com/app.html	(from https://chatki.com/)
18:11:14	16103/16103	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Aug%202017%2012:46:19%20GMT	https://chatki.com/about/	H:/Newfolder/skype/chatki.com/about/index.html	(from https://chatki.com/)
18:11:14	19292/19292	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Aug%202017%2012:46:19%20GMT	https://chatki.com/videos/	H:/Newfolder/skype/chatki.com/videos/index.html	(from https://chatki.com/)
18:11:15	8940/8940	---M--	200	added ('OK')	image/jpeg	etag:%224131-55773e7ba3362%22	https://chatki.com/assets/img/video-chatting.jpg	H:/Newfolder/skype/chatki.com/assets/img/video-chatting.jpg	(from https://chatki.com/)
18:11:15	9349/9349	---M--	200	added ('OK')	image/jpeg	etag:%222610-55721210fa693%22	https://chatki.com/assets/img/videos/siren.jpg	H:/Newfolder/skype/chatki.com/assets/img/videos/siren.jpg	(from https://chatki.com/)
18:11:15	15679/15679	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Aug%202017%2012:46:21%20GMT	https://chatki.com/help/	H:/Newfolder/skype/chatki.com/help/index.html	(from https://chatki.com/)
18:11:15	17575/17575	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Aug%202017%2012:46:21%20GMT	https://chatki.com/faq/	H:/Newfolder/skype/chatki.com/faq/index.html	(from https://chatki.com/)
18:11:15	15633/15633	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Aug%202017%2012:46:21%20GMT	https://chatki.com/videos/vol1	H:/Newfolder/skype/chatki.com/videos/vol1.html	(from https://chatki.com/)
18:11:15	11471/11471	---M--	200	added ('OK')	image/jpeg	etag:%22308c-55773e7f51a4b%22	https://chatki.com/assets/img/videos/get-girls.jpg	H:/Newfolder/skype/chatki.com/assets/img/videos/get-girls.jpg	(from https://chatki.com/)
18:11:16	15598/15598	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Aug%202017%2012:46:22%20GMT	https://chatki.com/videos/vol2	H:/Newfolder/skype/chatki.com/videos/vol2.html	(from https://chatki.com/)
18:11:16	12320/12320	---M--	200	added ('OK')	image/jpeg	etag:%223020-55773e7f2e3db%22	https://chatki.com/assets/img/videos/caught-on-omegle.jpg	H:/Newfolder/skype/chatki.com/assets/img/videos/caught-on-omegle.jpg	(from https://chatki.com/)
18:11:16	9688/9688	---M--	200	added ('OK')	image/jpeg	etag:%222764-5572120f26201%22	https://chatki.com/assets/img/videos/girls-understand.jpg	H:/Newfolder/skype/chatki.com/assets/img/videos/girls-understand.jpg	(from https://chatki.com/)
18:11:17	15650/15650	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Aug%202017%2012:46:22%20GMT	https://chatki.com/videos/vol3	H:/Newfolder/skype/chatki.com/videos/vol3.html	(from https://chatki.com/)
18:11:18	15603/15603	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Aug%202017%2012:46:23%20GMT	https://chatki.com/videos/vol4	H:/Newfolder/skype/chatki.com/videos/vol4.html	(from https://chatki.com/)
18:11:18	10805/10805	---MCZ	200	added ('OK')	text/css	etag:W/%222a35-55724347df8f8%22	https://chatki.com/assets/css/main.min.css?v1.0	H:/Newfolder/skype/chatki.com/assets/css/main.minff3e.css	(from https://chatki.com/)
